text,intent
계좌를 만들려면 어떻게 하나요,약관 동의 후 본인 인증과 정보 입력을 완료하면 계좌가 개설됩니다.
계좌 개설 시 신분증 촬영이 꼭 필요한가요,촬영이 어려우면 직접 정보 입력으로 진행할 수 있습니다.
계좌 개설에 필요한 정보가 무엇인가요,"이름, 생년월일, 초기 입금액, 계좌 비밀번호 4자리가 필요합니다."
계좌 번호는 어떻게 만들어지나요,계좌 번호는 자동으로 생성됩니다.
계좌 비밀번호는 몇 자리인가요,계좌 비밀번호는 4자리 숫자입니다.
비밀번호 확인을 왜 하나요,안전한 거래를 위해 계좌 비밀번호 확인이 필요합니다.
계좌 비밀번호가 틀렸어요,비밀번호가 일치하지 않으면 거래가 실패합니다.
계좌 비밀번호는 안전하게 처리되나요,계좌 비밀번호는 암호화되어 처리됩니다.
초기 입금액은 0원도 가능한가요,초기 입금액은 0원부터 입력할 수 있습니다.
입금 최소 금액이 있나요,입금은 100원 이상부터 가능합니다.
인출 최소 금액이 있나요,인출은 1원 이상 입력해야 합니다.
송금 최소 금액이 있나요,송금은 1원 이상 입력해야 합니다.
입금이나 인출도 비밀번호가 필요한가요,입금과 인출 시에도 계좌 비밀번호 확인이 필요합니다.
송금할 때 비밀번호 입력이 필요한가요,송금 시 보안을 위해 4자리 계좌 비밀번호를 입력해야 합니다.
같은 계좌로 송금할 수 있나요,동일한 계좌로는 송금할 수 없습니다.
잔액이 부족하면 송금이나 인출이 되나요,잔액이 부족하면 송금 또는 인출이 실패합니다.
내 계좌 잔액은 어디서 확인하나요,계좌 목록이나 마이페이지에서 확인할 수 있습니다.
계좌 목록에서 어떤 정보를 볼 수 있나요,"계좌 번호, 상태, 잔액, 생성일을 확인할 수 있습니다."
계좌 상태가 BLOCKED면 무엇인가요,차단 상태로 거래가 제한될 수 있습니다.
계좌를 삭제하려면 조건이 있나요,잔액이 0원이어야 하며 삭제 후 복구는 불가능합니다.
계좌를 삭제하면 다시 복구할 수 있나요,삭제된 계좌는 복구할 수 없습니다.
보유 계좌가 없으면 어떻게 표시되나요,계좌 목록에 보유 계좌가 없다는 안내가 표시됩니다.
최근 송금 내역은 어디서 확인하나요,송금 화면의 최근 송금 내역에서 확인할 수 있습니다.
최근 인출 내역은 어디서 확인하나요,인출 화면의 최근 인출 내역에서 확인할 수 있습니다.
송금 내역 누적 금액은 어디서 보나요,송금 화면에 누적 송금 총액이 표시됩니다.
인출 내역 누적 금액은 어디서 보나요,인출 화면에 누적 인출 총액이 표시됩니다.
카드 발급을 위해 무엇을 준비해야 하나요,약관 동의와 본인 인증을 진행한 뒤 연결할 계좌와 계좌 비밀번호 확인이 필요합니다.
카드 발급 중 신분증 인식이 안 돼요,신분증 인식이 어려우면 직접 정보 입력으로 발급을 진행할 수 있습니다.
체크카드와 신용카드 차이가 뭔가요,체크카드는 연결 계좌에서 즉시 출금되고 신용카드는 한도 내 결제로 안내됩니다.
카드 발급 시 연결할 계좌를 선택해야 하나요,카드 발급 시 연결할 계좌를 선택해야 합니다.
카드 발급 시 계좌 비밀번호를 왜 입력하나요,연결 계좌 본인 확인을 위해 비밀번호 확인이 필요합니다.
카드 번호는 어떤 형식인가요,카드 번호는 4자리-4자리-4자리-4자리 형식으로 표시됩니다.
카드 발급사는 어디인가요,발급사는 FDS BANK입니다.
카드 상태가 ACTIVE면 무엇인가요,정상 사용 가능한 상태입니다.
카드 상태가 LOST로 표시돼요,분실 신고된 상태로 카드 사용이 제한됩니다.
카드가 TERMINATED로 표시돼요,해지된 상태로 사용할 수 없습니다.
카드를 해지하면 다시 사용할 수 있나요,해지된 카드는 사용할 수 없습니다.
분실 신고한 카드를 다시 쓰고 싶어요,카드 관리에서 분실 해제 요청 후 본인 인증을 진행하면 됩니다.
카드 분실 신고는 어떻게 하나요,카드 관리에서 분실 신고를 선택하면 됩니다.
카드 분실 해제는 어떻게 하나요,카드 관리에서 분실 해제 요청 후 계좌 비밀번호로 인증합니다.
카드 결제는 어떤 계좌에서 출금되나요,카드에 연결된 계좌에서 출금됩니다.
카드 이용 내역은 어디에서 보나요,카드 이용 내역 메뉴에서 승인·거절·차단 상태를 확인할 수 있습니다.
카드 결제가 거절(잔액부족)으로 나왔어요,연결된 계좌 잔액이 부족해 결제가 실패한 것입니다.
카드 결제가 FDS차단으로 표시돼요,이상거래 탐지로 결제가 차단된 것입니다.
카드 결제가 실패했는데 이유를 모르겠어요,잔액 부족 또는 이상거래 탐지로 차단될 수 있습니다.
카드가 ACTIVE가 아닌데 결제가 되나요,카드 상태가 ACTIVE가 아니면 결제가 제한됩니다.
안심 거래 서비스가 무엇인가요,거래를 실시간으로 분석해 사기 의심 신호가 있으면 보류하거나 차단하고 안전한 거래는 정상 처리하는 보호 서비스입니다.
안심 거래 서비스는 왜 필요한가요,사기 피해를 줄이고 안전한 거래를 보장하기 위해 실시간 탐지와 검토 절차가 필요합니다.
이상거래 탐지는 언제 이루어지나요,거래 요청이 접수되는 즉시 자동으로 탐지 절차가 시작됩니다.
내 이체가 보류되었어요 왜 그런가요,"금액, 시간대, 거래 유형, 위험도 등에서 이상 징후가 감지되면 안전을 위해 보류될 수 있습니다."
승인 대기 상태는 무슨 뜻인가요,거래가 즉시 처리되지 않고 추가 확인이 필요한 상태라는 의미입니다.
거래 상태가 보류와 차단은 어떻게 다른가요,보류는 추가 확인 대기 상태이고 차단은 위험이 높아 처리하지 않는 상태입니다.
보류된 거래는 언제 처리되나요,검토가 끝나면 승인 또는 거절로 처리되며 상황에 따라 시간이 달라질 수 있습니다.
보류된 거래를 취소할 수 있나요,보류 중 취소가 필요하면 고객센터나 문의 채널을 통해 요청해야 합니다.
보류 중에는 실제로 돈이 빠져나가나요,보류 상태에서는 실제 송금이 실행되지 않습니다.
보류 상태가 오래 지속되면 어떻게 하나요,지연이 길어질 경우 고객센터에 문의해 진행 상태를 확인하면 됩니다.
거래가 거절되면 돈은 어떻게 되나요,송금이 실행되지 않으므로 잔액은 그대로 유지됩니다.
정상 승인되면 언제 입금되나요,승인이 완료되면 즉시 송금이 실행됩니다.
고액 이체는 왜 추가 확인이 필요한가요,고액 거래는 사기 위험이 상대적으로 높아 추가 검증이 이루어집니다.
고액 거래 기준이 있나요,현재 정책상 5천만원 이상 거래는 고액 거래로 분류되어 즉시 차단 또는 보류될 수 있습니다.
심야 거래가 보류되는 이유는 무엇인가요,00시에서 05시 사이의 고액 거래는 심야 의심 거래로 판단되어 보류될 수 있습니다.
정상 거래인데 왜 심야라서 막히나요,심야 시간대의 고액 거래는 보안상 보수적으로 처리될 수 있습니다.
거래 시간이 이상하다고 차단되나요,평소와 다른 시간대의 거래는 위험도로 평가되어 보류 또는 차단될 수 있습니다.
거래 위치가 평소와 달라요 문제가 되나요,거래 위치는 이상거래 판단에 참고되며 필요 시 보류될 수 있습니다.
이상거래 탐지는 어떤 정보를 참고하나요,"거래 금액, 시간, 위치, 거래 유형, 계좌 잔액 등 여러 정보를 종합해 판단합니다."
AI가 위험하다고 판단하면 어떻게 되나요,거래가 보류되거나 차단되며 필요 시 추가 확인 절차가 진행됩니다.
AI가 오판할 수도 있나요,가능성은 있으며 이런 경우 검토를 통해 정상 거래로 승인될 수 있습니다.
AI 위험도는 무엇을 의미하나요,사기 가능성을 수치로 표현한 위험도 점수입니다.
AI 위험도가 낮으면 무조건 승인되나요,위험도가 낮아도 금액 한도 등 추가 기준을 함께 고려합니다.
자동 승인 한도란 무엇인가요,일정 금액 이하 거래는 자동으로 처리하고 초과하면 보류하는 기준입니다.
이상거래 탐지 결과는 어디서 확인하나요,앱이나 웹의 거래 내역 또는 알림에서 처리 상태를 확인할 수 있습니다.
이상거래로 오인된 것 같아요,본인 확인 후 재검토가 필요하므로 고객센터에 문의하는 것이 좋습니다.
카드 결제도 탐지 대상인가요,카드 거래와 계좌 이체 모두 이상거래 탐지 대상이 될 수 있습니다.
이체 상대방이 차단된 계좌인지 알 수 있나요,차단 여부는 보안상 상세 공개되지 않으며 보류나 거절 안내로 확인할 수 있습니다.
승인 대기 중인데 빠르게 처리할 수 있나요,긴급한 경우 고객센터를 통해 처리 요청을 접수할 수 있습니다.
거래 내역에 FDS 차단이라고 표시돼요,이상거래 탐지로 거래가 차단된 상태를 의미합니다.
안심 거래 알림이 왔어요 무슨 뜻인가요,이상거래 탐지로 추가 확인이 필요하다는 알림일 수 있습니다.
사기 의심 거래는 바로 취소되나요,위험도가 높으면 즉시 차단되거나 보류되어 확인 절차가 진행됩니다.
탐지 기준은 고정인가요,보안 정책과 운영 상황에 따라 조정될 수 있습니다.
위치 정보가 꼭 필요한가요,위치 정보는 이상거래 분석에 참고되며 수집 범위는 서비스 정책을 따릅니다.
개인정보나 인증번호를 입력해도 되나요,비밀번호나 인증번호 등 민감 정보는 절대 입력하지 않아야 합니다.
사기 의심 계좌를 신고하려면 어떻게 하나요,서비스 내 신고 기능 또는 고객센터를 통해 신고할 수 있습니다.
신고하면 어떤 절차로 처리되나요,신고 내용이 누적되고 검토되며 필요 시 차단 등 조치가 이루어집니다.
신고 사유에는 어떤 것이 있나요,"보이스피싱 의심, 대포통장 의심, 중고거래 사기, 기관 사칭, 지인 사칭 메신저 피싱 등이 있습니다."
같은 계좌를 여러 번 신고하면 어떻게 되나요,신고 횟수가 누적되며 누적 정보가 검토에 반영됩니다.
신고 후 계좌가 바로 차단되나요,신고만으로 즉시 차단되기보다는 누적과 검토를 통해 결정됩니다.
신고 결과를 받을 수 있나요,처리 상태는 안내될 수 있으나 상세 내용은 보안상 제한될 수 있습니다.
신고 후 결과를 언제 알 수 있나요,처리 일정에 따라 다르며 안내 가능한 범위에서 결과가 제공됩니다.
블랙리스트란 무엇인가요,사기 의심이 확인되거나 신고 누적으로 차단된 계좌 목록입니다.
블랙리스트 계좌로 송금하면 어떻게 되나요,안전상의 이유로 거래가 즉시 차단되거나 보류됩니다.
블랙리스트는 해제될 수 있나요,검토 결과에 따라 해제가 가능하며 고객센터를 통해 요청할 수 있습니다.
신고할 때 어떤 정보가 필요하나요,신고하려는 계좌 정보와 신고 사유를 준비하면 됩니다.
사기 계좌 신고는 어디에서 할 수 있나요,상단 메뉴의 사기 계좌 신고 항목에서 접수할 수 있습니다.
사용자 통계 대시보드는 무엇인가요,거래와 탐지 현황을 요약해서 보여주는 화면입니다.
대시보드 기간을 어떻게 바꾸나요,대시보드 상단에서 오늘 또는 최근 7일을 선택할 수 있습니다.
거래 건수는 무엇을 의미하나요,선택한 기간 동안의 거래 횟수를 의미합니다.
거래 금액 합계와 평균은 어떤 값인가요,선택한 기간의 총 거래 금액과 평균 금액을 보여줍니다.
탐지 건수와 탐지율은 무엇인가요,이상거래로 탐지된 건수와 탐지 비율을 의미합니다.
사기 확정과 확정율은 무엇인가요,사기로 확정된 건수와 확정 비율을 의미합니다.
평균 사기확률과 중앙값은 무엇인가요,AI 위험도 평균과 중앙값을 보여줍니다.
최신 탐지 시각은 무엇을 뜻하나요,최근에 탐지가 발생한 시각을 의미합니다.
프로필 섹션에서는 무엇을 볼 수 있나요,이름과 로그인 ID 정보를 확인할 수 있습니다.
계좌 섹션에서는 무엇을 볼 수 있나요,"계좌 번호, 상태, 잔액을 확인할 수 있습니다."
카드 요약에서는 어떤 정보를 보나요,보유 카드 수와 상태·유형·발급사 분포를 확인할 수 있습니다.
거래 요약에서는 무엇을 보여주나요,거래 유형 분포와 날짜별 거래 건수를 보여줍니다.
최근 거래 내역에는 어떤 항목이 나오나요,"시각, 금액, 가맹점, 지역, 상대 계좌, 설명이 표시됩니다."
탐지 요약 섹션은 무엇을 보여주나요,"탐지 건수, 사기 확정, 최신 탐지 시각을 보여줍니다."
주간 스냅샷은 무엇인가요,주간 통계 집계를 모아 보여주는 히스토리입니다.
스냅샷을 선택하면 무엇을 볼 수 있나요,선택한 기간의 거래·탐지 KPI와 생성 시각을 확인할 수 있습니다.
스냅샷이 없으면 어떻게 표시되나요,생성된 스냅샷이 없다는 안내가 표시됩니다.
마이페이지에서는 무엇을 볼 수 있나요,"총 자산, 보유 계좌·카드 수, 최근 거래 내역을 확인할 수 있습니다."
최근 거래 내역은 몇 건까지 보여주나요,최근 거래 5건이 표시됩니다.
거래 내역에 계좌와 카드가 함께 나오나요,거래 유형에 따라 계좌/카드 구분이 함께 표시됩니다.
로그인에 실패했어요,아이디 또는 비밀번호가 일치하지 않을 수 있습니다.
회원가입에 필요한 정보가 무엇인가요,"아이디, 이름, 비밀번호, 이메일, 보안 질문과 답변, 생년월일, 성별이 필요합니다."
회원가입 생년월일 형식은 어떻게 입력하나요,YY/MM/DD 형식으로 입력해야 합니다.
아이디를 잊어버렸어요,"이름, 이메일, 생년월일 정보를 입력해 아이디 찾기를 진행할 수 있습니다."
비밀번호를 잊어버렸어요,"아이디, 이메일, 생년월일과 보안 질문 답변으로 재설정할 수 있습니다."
보안 질문은 왜 필요한가요,비밀번호 분실 시 본인 확인을 위한 절차입니다.
개인정보 동의는 왜 필요한가요,계좌 개설과 본인 확인을 위해 필요한 절차입니다.
카메라가 작동하지 않아요,브라우저 권한을 확인하고 필요하면 직접 입력으로 진행할 수 있습니다.
본인 인증은 왜 필요한가요,안전한 서비스 이용과 부정 사용 방지를 위한 절차입니다.
회원가입 후 바로 이용할 수 있나요,가입이 완료되면 로그인하여 서비스를 이용할 수 있습니다.
이메일을 꼭 입력해야 하나요,가입과 계정 찾기에 사용되므로 이메일 입력이 필요합니다.
비밀번호 찾기 질문을 변경할 수 있나요,가입 시 선택한 질문과 답변을 기준으로 본인 확인을 진행합니다.
로그아웃은 어디서 하나요,상단 메뉴에서 로그아웃을 선택할 수 있습니다.
